steps,time_in_bed_hours,active_cals_kcal,exercise_min,nonsedentary_hours,daylight_hours,distance_m,flights,resting_hr_bpm
10458.0,7.733333333333333,2.572,152.0,16.266666666666666,2.6277984447902125,8047.0,14.0,69.0
6938.0,9.083333333333334,2.449,0.0,14.916666666666666,2.361652421906125,5690.0,12.0,58.0
6579.0,8.75,2.352,110.0,15.25,1.5324399404281794,4994.0,19.0,62.0
14127.0,8.066666666666666,2.65,0.0,15.933333333333334,0.8223892181307249,9951.0,3.0,61.0
14309.0,8.95,2.627,0.0,15.05,1.3816253820923716,11321.0,0.0,63.0
9551.0,9.9,2.329,0.0,14.1,1.6620618363673674,7603.0,2.0,64.0
9042.0,5.833333333333333,2.27,48.0,18.166666666666668,1.775208394894084,7077.0,12.0,60.0
13653.0,6.833333333333333,2.764,31.0,17.166666666666668,1.4121407910123078,10749.0,11.0,61.0
7232.0,6.333333333333333,2.0,0.0,17.666666666666668,2.043686037145596,5326.0,9.0,61.0
7763.0,6.65,2.971,71.0,17.35,1.482229581012573,5461.0,1.0,53.0
11608.0,13.916666666666666,5.07,80.0,10.083333333333334,0.6686870747255715,8202.0,13.0,57.0
9013.0,0.0,0.0,52.0,24.0,2.718016984012408,6023.0,1.0,0.0
9987.0,8.2,2.649,118.0,15.8,1.3986051939095567,7608.0,15.0,60.0
9591.0,8.916666666666666,2.265,17.0,15.083333333333334,1.7792064056181798,7153.0,25.0,58.0
10843.0,7.95,2.889,14.0,16.05,1.896242815996486,7894.0,10.0,52.0
13518.0,8.183333333333334,2.178,0.0,15.816666666666666,0.8840663659025645,8141.0,11.0,52.0
10226.0,8.366666666666667,3.039,53.0,15.633333333333333,1.3264645466275449,7032.0,5.0,57.0
11609.0,14.466666666666667,5.627,0.0,9.533333333333333,2.059777191274857,9358.0,0.0,56.5
4874.0,7.866666666666666,2.608,76.0,16.133333333333333,0.8998776744193323,3493.0,4.0,54.0
9878.0,8.316666666666666,2.849,117.0,15.683333333333334,0.5,7586.0,1.0,53.0
7891.0,7.283333333333333,2.244,0.0,16.71666666666667,0.5,5370.0,0.0,50.0
